corpus	local_name	bytes	sha256	source_url
ietf	minutes-100-6lo.txt	7018	3dd07ed5949cb7d1ddc8f653918ca6a0fe0bbe89c26321c170ab7091104abfd3	https://www.ietf.org/proceedings/100/minutes/minutes-100-6lo-00.txt
ietf	minutes-100-6man.txt	12897	b255aa642237a5bb4e6ef3596b71ff8a31b7751b40022a523c0ee30f8b0028de	https://www.ietf.org/proceedings/100/minutes/minutes-100-6man-00.txt
ietf	minutes-100-6tisch.txt	13790	cee5f34f16d43360a1693cc1f9087e9ceeeea1b98b2ae6f9cce1fe214f2791ac	https://www.ietf.org/proceedings/100/minutes/minutes-100-6tisch-00.txt
ietf	minutes-100-ace.txt	8356	99cb1ec66ffca2d2f6a6c7c73a8c7ba523d2f7e55ac7119d9496ef8c4680a975	https://www.ietf.org/proceedings/100/minutes/minutes-100-ace-00.txt
ietf	minutes-100-acme.txt	21268	fe7fe675d3934daf1da77a4afd9fc84e8e4ddbeca43508b467a3c9d777fcbb79	https://www.ietf.org/proceedings/100/minutes/minutes-100-acme-00.txt
ietf	minutes-100-anima.txt	18637	95e4c27501481038faf8d5cedfe996ad29b3b0bbbeab47be85d100b8d004da62	https://www.ietf.org/proceedings/100/minutes/minutes-100-anima-00.txt
ietf	minutes-100-avtcore.txt	8733	a57ee32ae635b1d330e7094bdbfa1a80555b00ee57147e9d097f763d57473d87	https://www.ietf.org/proceedings/100/minutes/minutes-100-avtcore-03.txt
ietf	minutes-100-babel.txt	3807	6ea8dc369aa8ec033f416a2fce3098bb5c977b8e0a9eb900b13a64bdd635e9d1	https://www.ietf.org/proceedings/100/minutes/minutes-100-babel-00.txt
ietf	minutes-100-bess.txt	3865	2533d971d5343b972044ee65d4107e6a36153cb842cf9368eef61e28acfe1f4e	https://www.ietf.org/proceedings/100/minutes/minutes-100-bess-00.txt
ietf	minutes-100-bier.txt	15670	e114a4f963d6d50e6226cc965146d749223f6985456edbe5420c07ab4657549c	https://www.ietf.org/proceedings/100/minutes/minutes-100-bier-00.txt
ietf	minutes-100-capport.txt	14427	afde190f0ea47fa705209d0c12393a393505a1206d907696c18e90dea1787e0e	https://www.ietf.org/proceedings/100/minutes/minutes-100-capport-00.txt
ietf	minutes-100-cbor.txt	6095	99f7916b0b0eac8d7881ac9c2aa5adeb97f15a3eb32afbfb13f0dc4d7eeeaf9a	https://www.ietf.org/proceedings/100/minutes/minutes-100-cbor-01.txt
ietf	minutes-100-cdni.txt	4480	067ec4bb57b7ae2796b4673a5053687aafb236c2a7b1902f76c93d3eeb627873	https://www.ietf.org/proceedings/100/minutes/minutes-100-cdni-00.txt
ietf	minutes-100-cfrg.txt	2272	c1ad66ded402307a020683824e3d7d3e9bfd4eb906872103f74656d452058de3	https://www.ietf.org/proceedings/100/minutes/minutes-100-cfrg-00.txt
ietf	minutes-100-core.md	33340	e313aa1580d6d146005aa1968dcbe6fa1049c9393f8db26779fe6360c7328448	https://www.ietf.org/proceedings/100/minutes/minutes-100-core-00.md
ietf	minutes-100-dcrouting.txt	21343	87b8fd9e7860551a07a410accb8113d87418e80e83c83a6bd508177f5faafea7	https://www.ietf.org/proceedings/100/minutes/minutes-100-dcrouting-00.txt
ietf	minutes-100-dcrup.txt	613	04fc757e35fc68a62f57ccb81ca9a54114a776bfdc5d25fcd9a1e29e54479258	https://www.ietf.org/proceedings/100/minutes/minutes-100-dcrup-00.txt
ietf	minutes-100-detnet.txt	15084	c09fd4701ef9f8f64ea64c106c37f0d047f9a8df32205a34ea8d14501ff9388e	https://www.ietf.org/proceedings/100/minutes/minutes-100-detnet-01.txt
ietf	minutes-100-dhc.txt	3627	5ae9dbffe4a57508cbc17c5f02f3a96893ed0fa299027209d0ff1f9eb496d0d2	https://www.ietf.org/proceedings/100/minutes/minutes-100-dhc-02.txt
ietf	minutes-100-dispatch.txt	11736	7e3115baa43b432b1c8259413d8dfe25a00644f1faaf1b54b26bd6337b12d06c	https://www.ietf.org/proceedings/100/minutes/minutes-100-dispatch-02.txt
ietf	minutes-100-dnsop.txt	10392	7003497bab1fa658bebbd3f5f5256b8b63e8143eaeb81eeb42d32df8d610b7d1	https://www.ietf.org/proceedings/100/minutes/minutes-100-dnsop-00.txt
ietf	minutes-100-dnssd.txt	8209	3985d7b6819a02531db4a80c79daa79dce976eaf5bdb2bad7ffe29c90d1dc900	https://www.ietf.org/proceedings/100/minutes/minutes-100-dnssd-00.txt
